,angle
10231,19.7
10232,-19.7
10233,0.4
10234,5.6000000000000005
10235,-5.6000000000000005
10236,15.3
10237,0.30000000000000004
10238,-6.2
10239,6.2
10240,-12.8
10241,1.6
10242,6.3000000000000025
10243,-6.3000000000000025
10244,-11.7
10245,11.7
10246,-3.1
10247,5.5
10248,-5.5
10249,11.2
10250,2.4000000000000004
10251,-5.6000000000000005
10252,5.6000000000000005
10253,-10.7
10254,10.7
10255,-0.4
10256,0.4
10257,-5.300000000000002
10258,5.300000000000002
10259,19.6
10260,-19.6
10261,0.30000000000000004
10262,-7.3000000000000025
10263,-17.1
10264,0.5
10265,-7.1000000000000005
10266,11.7
10267,-11.7
10268,0.7000000000000001
10269,-0.7000000000000001
10270,5.6
10271,-10.4
10272,-0.2
10273,5.6
10274,-5.6
10275,11.7
10276,-11.7
10277,-0.2
10278,-7.2
10279,7.2
10280,-15.9
10281,-0.6000000000000001
10282,0.6000000000000001
10283,-8.4
10284,8.4
10285,-12.3
10286,0.8
10287,-9.7
10288,9.7
10289,-17.7
10290,0.1
10291,-0.1
10292,5.2
10293,-5.2
10294,13.1
10295,2.9000000000000004
10296,-2.9000000000000004
10297,6.7
10298,-6.7
10299,-19.700000000000006
10300,0.7000000000000001
10301,-0.7000000000000001
10302,-8.0
10303,13.1
10304,0.30000000000000004
10305,-0.30000000000000004
10306,5.1
10307,13.1
10308,-13.1
10309,-2.9
10310,6.2
10311,13.1
10312,-13.1
10313,-1.0
10314,1.0
10315,7.7
10316,13.1
10317,0.0
10318,5.6000000000000005
10319,13.3
10320,-2.5
10321,2.5
10322,6.0
10323,15.5
10324,-2.9000000000000004
10325,-5.7
10326,5.7
10327,12.9
10328,-12.9
10329,0.6000000000000001
10330,-0.6000000000000001
10331,-5.7
10332,10.7
10333,-0.30000000000000004
10334,0.30000000000000004
10335,5.4
10336,-5.4
10337,-16.9
10338,0.5
10339,6.4
10340,-11.7
10341,11.7
10342,3.2
10343,-6.9
10344,-11.7
10345,11.7
10346,0.30000000000000004
10347,-6.1000000000000005
10348,-12.7
10349,4.4
10350,-5.2
10351,-17.7
10352,17.7
10353,-0.5
10354,-8.4
10355,8.4
10356,-12.1
10357,12.1
10358,4.0
10359,-4.0
10360,-5.4
10361,5.4
10362,-12.5
10363,12.5
10364,0.4
10365,-5.2
10366,-17.5
10367,17.5
10368,-0.7000000000000001
10369,5.8000000000000025
10370,-5.8000000000000025
10371,-12.5
10372,-0.1
10373,5.5
10374,-5.5
10375,-19.9
10376,19.9
10377,2.7
10378,6.6000000000000005
10379,-6.6000000000000005
10380,12.7
10381,0.0
10382,-0.0
10383,7.0
10384,-7.0
10385,-16.1
10386,0.5
10387,-0.5
10388,-7.7
10389,7.7
10390,13.1
10391,0.4
10392,-7.0
10393,7.0
10394,13.1
10395,-13.1
10396,0.30000000000000004
10397,6.3000000000000025
10398,13.1
10399,0.6000000000000001
10400,-0.6000000000000001
10401,-5.4
10402,5.4
10403,-18.3
10404,18.3
10405,1.0
10406,-6.6000000000000005
10407,6.6000000000000005
10408,-12.4
10409,-4.6000000000000005
10410,-5.3
10411,16.1
10412,-0.9
10413,0.9
10414,-7.8000000000000025
10415,-11.0
10416,11.0
10417,-0.8999999999999999
10418,0.8999999999999999
10419,9.0
10420,-9.0
10421,-11.7
10422,11.7
10423,0.30000000000000004
10424,-0.30000000000000004
10425,-5.1000000000000005
10426,5.1000000000000005
10427,-17.5
10428,1.0
10429,-5.4
10430,5.4
10431,-19.700000000000006
10432,-0.4
10433,0.4
10434,-5.6000000000000005
10435,5.6000000000000005
10436,13.1
10437,-1.0
10438,-6.1
10439,-16.1
10440,16.1
10441,-0.9
10442,7.9
10443,-7.9
10444,13.1
10445,-13.1
10446,-2.1
10447,5.4
10448,-5.4
10449,11.5
10450,-4.1000000000000005
10451,-8.9
10452,-11.7
10453,-4.0
10454,7.3
10455,-10.1
10456,-0.7999999999999999
10457,0.7999999999999999
10458,-5.7
10459,13.5
10460,-13.5
10461,3.6
10462,-3.6
10463,-6.4
10464,6.4
10465,-13.7
10466,13.7
10467,0.2
10468,-0.2
10469,-8.0
10470,13.1
10471,-0.30000000000000004
10472,-9.7
10473,9.7
10474,-11.6
10475,11.6
10476,-1.0
10477,1.0
10478,5.5
10479,-5.5
10480,13.1
10481,-1.9
10482,-6.5
10483,-11.8
10484,11.8
10485,-1.4
10486,-8.5
10487,8.5
10488,-17.8
10489,17.8
10490,-1.7000000000000002
10491,1.7000000000000002
10492,-7.5
10493,-13.1
10494,13.1
10495,0.30000000000000004
10496,6.0
10497,13.1
10498,0.4
10499,-0.4
10500,6.6
10501,13.1
10502,0.1
10503,-0.1
10504,-10.0
10505,10.0
10506,-19.700000000000006
10507,2.5
10508,5.9
10509,14.7
10510,-14.7
10511,0.8
10512,5.6000000000000005
10513,-5.6000000000000005
10514,-13.2
10515,2.6
10516,-2.6
10517,-8.8
10518,13.1
10519,-13.1
10520,-0.6000000000000001
10521,0.6000000000000001
10522,-6.3000000000000025
10523,-16.1
10524,16.1
10525,-0.30000000000000004
10526,0.30000000000000004
10527,-5.5
10528,-14.3
10529,14.3
10530,0.7000000000000001
10531,-0.7000000000000001
10532,6.0
10533,-6.0
10534,10.7
10535,-10.7
10536,1.0
10537,6.3000000000000025
10538,-6.3000000000000025
10539,-13.4
10540,13.4
10541,-1.1
10542,-7.9
10543,17.0
10544,2.3000000000000003
10545,-2.3000000000000003
10546,-5.2
10547,5.2
10548,-11.8
10549,11.8
10550,0.1
10551,-0.1
10552,-8.2
10553,8.2
10554,-12.4
10555,0.0
10556,-6.7
10557,6.7
10558,13.1
10559,-13.1
10560,0.7000000000000001
10561,-5.7
10562,5.7
10563,13.1
10564,-13.1
10565,-0.4
10566,5.4
10567,10.9
10568,-10.9
10569,-0.6000000000000001
10570,5.2
10571,-15.7
10572,-2.1
10573,-5.5
10574,5.5
10575,13.1
10576,-13.1
10577,4.0
10578,-4.0
10579,5.8
10580,-11.3
10581,4.1000000000000005
10582,7.6
10583,-10.7
10584,0.0
10585,-5.6000000000000005
10586,12.9
10587,-12.9
10588,-1.3
10589,7.6
10590,13.1
10591,0.0
10592,-0.0
10593,-7.4
10594,7.4
10595,-19.5
10596,19.5
10597,0.9
10598,-0.9
10599,-5.2
10600,5.2
10601,18.6
10602,-18.6
10603,-0.5
10604,0.5
10605,-6.4
10606,-17.7
10607,-3.1
10608,3.1
10609,-5.1
10610,5.1
10611,-19.6
10612,19.6
10613,-1.0
10614,-5.4
10615,14.4
10616,-0.30000000000000004
10617,-6.1
10618,13.1
10619,-13.1
10620,-0.1
10621,5.4
10622,-5.4
10623,13.1
10624,-13.1
10625,0.7000000000000001
10626,-5.300000000000002
10627,-17.7
10628,2.5
10629,-5.300000000000002
10630,5.300000000000002
10631,-14.5
10632,14.5
10633,0.0
10634,-0.0
10635,5.1000000000000005
10636,-5.1000000000000005
10637,-13.6
10638,-2.6
10639,2.6
10640,-8.6
10641,13.1
10642,-1.3
10643,1.3
10644,-6.1
10645,10.1
10646,-0.30000000000000004
10647,0.30000000000000004
10648,-5.1
10649,-17.7
10650,17.7
10651,2.1
10652,-6.0
10653,13.1
10654,1.0
10655,-1.0
10656,-6.1000000000000005
10657,6.1000000000000005
10658,13.1
10659,-4.4
10660,6.9
10661,-6.9
10662,-11.2
10663,11.2
10664,3.3
10665,-3.3
10666,-5.2
10667,5.2
10668,-15.2
10669,5.0
10670,-5.0
10671,-6.3
10672,6.3
10673,-19.700000000000006
10674,19.700000000000006
10675,4.2
10676,-4.2
10677,7.9
10678,-7.9
10679,13.2
10680,-13.2
10681,-0.7999999999999999
10682,0.7999999999999999
10683,6.4
10684,-6.4
10685,13.1
10686,0.8
10687,-0.8
10688,7.6
10689,-7.6
10690,13.1
10691,-0.9
10692,0.9
10693,-6.4
10694,-14.9
10695,14.9
10696,2.2
10697,-2.2
10698,-5.8000000000000025
10699,5.8000000000000025
10700,-11.7
10701,11.7
10702,0.0
10703,-7.8
10704,18.6
10705,-18.6
10706,3.3000000000000003
10707,-5.2
10708,-13.7
10709,13.7
10710,0.2
10711,8.8
10712,14.1
10713,-14.1
10714,4.800000000000002
10715,-4.800000000000002
10716,6.0
10717,-6.0
10718,14.0
10719,2.4000000000000004
10720,-2.4000000000000004
10721,-6.2
10722,14.9
10723,4.4
10724,5.7
10725,-11.7
10726,0.0
10727,-6.1
10728,-14.5
10729,-3.0
10730,-6.4
10731,6.4
10732,-11.8
10733,0.1
10734,-0.1
10735,-6.5
10736,-10.6
10737,10.6
10738,3.0
10739,-3.0
10740,-9.8
10741,18.6
10742,3.8
10743,6.2
10744,-6.2
10745,10.5
10746,-10.5
10747,0.0
10748,5.5
10749,-5.5
10750,13.1
10751,0.30000000000000004
10752,-8.5
10753,-11.7
10754,11.7
10755,-2.9000000000000004
10756,2.9000000000000004
10757,-5.300000000000002
10758,5.300000000000002
10759,-18.7
10760,-1.7000000000000002
10761,-5.3
10762,13.1
10763,0.8
10764,-8.5
10765,12.9
10766,-1.5
10767,-5.8000000000000025
10768,5.8000000000000025
10769,-17.7
10770,0.7000000000000001
10771,7.3000000000000025
10772,-7.3000000000000025
10773,-11.7
10774,11.7
10775,-1.2000000000000002
10776,8.7
10777,-18.6
10778,18.6
10779,0.4
10780,6.4
10781,13.1
10782,-1.5
10783,-7.6
10784,-11.7
10785,11.7
10786,4.5
10787,-4.5
10788,-6.0
10789,13.1
10790,-13.1
10791,-0.7000000000000001
10792,-5.6000000000000005
10793,5.6000000000000005
10794,13.1
10795,-13.1
10796,4.0
10797,-7.1
10798,-14.2
10799,14.2
10800,-2.8
10801,8.5
10802,14.2
10803,1.7000000000000002
10804,-1.7000000000000002
10805,9.8
10806,11.4
10807,-11.4
10808,-0.30000000000000004
10809,7.0
10810,13.1
10811,-1.2000000000000002
10812,1.2000000000000002
10813,-5.5
10814,5.5
10815,13.1
10816,-0.6000000000000001
10817,0.6000000000000001
10818,-5.8000000000000025
10819,5.8000000000000025
10820,-19.700000000000006
10821,19.700000000000006
10822,-3.3000000000000003
10823,3.3000000000000003
10824,5.5
10825,-5.5
10826,-10.3
10827,3.2
10828,-3.2
10829,-6.9
10830,13.1
10831,-13.1
10832,-4.6000000000000005
10833,5.8
10834,15.7
10835,-15.7
10836,4.2
10837,5.300000000000002
10838,-5.300000000000002
10839,-12.4
10840,-0.6000000000000001
10841,0.6000000000000001
10842,-5.7
10843,5.7
10844,15.2
10845,-4.4
10846,-6.9
10847,12.7
10848,3.5
10849,-9.4
10850,-11.5
10851,11.5
10852,-1.1
10853,1.1
10854,-6.7
10855,6.7
10856,10.7
10857,-10.7
10858,1.0
10859,-1.0
10860,7.1000000000000005
10861,-7.1000000000000005
10862,-10.8
10863,10.8
10864,-2.5
10865,2.5
10866,5.5
10867,-5.5
10868,-11.8
10869,-2.5
10870,2.5
10871,5.4
10872,13.1
10873,-13.1
10874,-1.8
10875,9.2
10876,-9.2
10877,-11.8
10878,11.8
10879,-2.0
10880,5.4
10881,-11.4
10882,11.4
10883,0.7000000000000001
10884,-0.7000000000000001
10885,-6.2
10886,6.2
10887,-17.7
10888,17.7
10889,1.5
10890,8.7
10891,-8.7
10892,-17.1
10893,17.1
10894,0.9
10895,-0.9
10896,8.1
10897,-8.1
10898,18.6
10899,-0.4
10900,6.1
10901,-6.1
10902,-17.7
10903,17.7
10904,0.8
10905,-0.8
10906,-6.6000000000000005
10907,6.6000000000000005
10908,19.0
10909,0.4
10910,-8.8
10911,-11.7
10912,-0.7000000000000001
10913,5.2
10914,-5.2
10915,-13.2
10916,-0.6000000000000001
10917,-5.300000000000002
10918,5.300000000000002
10919,-11.0
10920,-1.3
10921,1.3
10922,5.1000000000000005
10923,-5.1000000000000005
10924,-12.5
10925,-0.9
10926,0.9
10927,5.7
10928,-5.7
10929,13.1
10930,-13.1
10931,-0.6000000000000001
10932,6.9
10933,-6.9
10934,-11.7
10935,-0.7000000000000001
10936,0.7000000000000001
10937,7.2
10938,12.9
10939,-0.30000000000000004
10940,0.30000000000000004
10941,-7.0
10942,-12.4
10943,-0.7000000000000001
10944,0.7000000000000001
10945,-6.7
10946,6.7
10947,-12.4
10948,0.0
10949,-5.4
10950,15.0
10951,-0.1
10952,0.1
10953,-5.5
10954,5.5
10955,-12.4
10956,12.4
10957,2.7
10958,-2.7
10959,-6.2
10960,6.2
10961,-13.6
10962,13.6
10963,-0.8999999999999999
10964,0.8999999999999999
10965,6.7
10966,-6.7
10967,18.6
10968,-18.6
10969,1.9
10970,5.9
10971,-5.9
10972,11.4
10973,-11.4
10974,-2.8000000000000003
10975,2.8000000000000003
10976,-5.5
10977,-10.1
10978,4.9
10979,-4.9
10980,8.8
10981,16.6
10982,-16.6
10983,0.0
10984,-6.7
10985,6.7
10986,13.1
10987,-0.30000000000000004
10988,7.9
10989,-7.9
10990,-14.4
10991,-2.1
10992,2.1
10993,-7.6
10994,7.6
10995,17.400000000000002
10996,-17.400000000000002
10997,0.8
10998,-0.8
10999,5.1000000000000005
11000,13.1
11001,0.1
11002,-5.7
11003,5.7
11004,14.5
11005,-14.5
11006,3.3
11007,-3.3
11008,-7.4
11009,14.3
11010,-14.3
11011,-0.6000000000000001
11012,0.6000000000000001
11013,6.8000000000000025
11014,-6.8000000000000025
11015,-10.7
11016,1.5
11017,-1.5
11018,5.6000000000000005
11019,13.1
11020,2.1
11021,-5.5
11022,5.5
11023,-12.5
11024,-2.5
11025,2.5
11026,-6.7
11027,13.1
11028,-0.1
11029,5.3
11030,-5.3
11031,-10.6
11032,-3.3000000000000003
11033,3.3000000000000003
11034,-6.1
11035,6.1
11036,12.9
11037,-12.9
11038,0.6000000000000001
11039,-7.5
11040,7.5
11041,15.2
11042,-15.2
11043,1.8
11044,-1.8
11045,6.1000000000000005
11046,12.3
11047,0.0
11048,-6.4
11049,6.4
11050,-10.7
11051,-0.6000000000000001
11052,7.1000000000000005
11053,-19.700000000000006
11054,2.4000000000000004
11055,-2.4000000000000004
11056,7.7
11057,-13.9
11058,13.9
11059,1.0
11060,-1.0
11061,5.8000000000000025
11062,-5.8000000000000025
11063,-11.8
11064,11.8
11065,2.6
11066,-7.4
11067,7.4
11068,15.2
11069,-15.2
11070,-0.30000000000000004
11071,-5.4
11072,-12.7
11073,0.0
11074,-0.0
11075,5.2
11076,-11.8
11077,-1.0
11078,1.0
11079,-8.4
11080,8.4
11081,13.1
11082,-13.1
11083,3.0
11084,-3.0
11085,6.0
11086,-6.0
11087,13.1
11088,-13.1
11089,-4.6
11090,4.6
11091,5.6000000000000005
11092,18.5
11093,0.2
11094,-6.1000000000000005
11095,6.1000000000000005
11096,18.6
11097,1.6
11098,-1.6
11099,6.3000000000000025
11100,13.1
11101,0.9
11102,6.1000000000000005
11103,-6.1000000000000005
11104,13.1
11105,2.8
11106,-2.8
11107,6.2
11108,-6.2
11109,17.1
11110,0.0
11111,-0.0
11112,6.4
11113,-6.4
11114,10.6
11115,0.0
11116,-0.0
11117,6.0
11118,-6.0
11119,18.7
11120,-18.7
11121,1.0
11122,-1.0
11123,5.6000000000000005
11124,-5.6000000000000005
11125,13.1
11126,0.0
11127,-9.3
11128,9.3
11129,-11.7
11130,11.7
11131,-2.4
11132,2.4
11133,6.4
11134,13.1
11135,-0.9
11136,5.2
11137,-11.4
11138,11.4
11139,0.1
11140,-0.1
11141,8.8
11142,-8.8
11143,13.1
11144,2.4000000000000004
11145,-2.4000000000000004
11146,-7.8
11147,7.8
11148,-11.7
11149,11.7
11150,0.7000000000000001
11151,-0.7000000000000001
11152,-7.6
11153,7.6
11154,14.4
11155,-14.4
11156,-2.8000000000000003
11157,5.4
11158,-5.4
11159,13.1
11160,4.800000000000002
11161,8.8
11162,-8.8
11163,13.1
11164,-3.5
11165,3.5
11166,-6.4
11167,6.4
11168,12.0
11169,-12.0
11170,-0.7000000000000001
11171,0.7000000000000001
11172,6.4
11173,-6.4
11174,-12.3
11175,-0.6000000000000001
11176,8.3
11177,10.5
11178,3.8
11179,-3.8
11180,-6.7
11181,6.7
11182,13.1
11183,-13.1
11184,-1.0
11185,1.0
11186,6.4
11187,-15.2
11188,15.2
11189,-0.1
11190,0.1
11191,-7.9
11192,-11.2
11193,3.3
11194,-3.3
11195,-6.6000000000000005
11196,6.6000000000000005
11197,19.6
11198,-19.6
11199,-0.5
11200,-5.5
11201,5.5
11202,-15.1
11203,15.1
11204,2.8000000000000003
11205,5.1
11206,13.1
11207,0.2
11208,-8.200000000000001
11209,8.200000000000001
11210,13.3
11211,-13.3
11212,-1.9
11213,-5.4
11214,5.4
11215,10.7
11216,-1.9
11217,-6.8
11218,6.8
11219,-18.3
11220,3.0
11221,-7.0
11222,-10.4
11223,-1.2000000000000002
11224,1.2000000000000002
11225,-6.7
11226,17.8
11227,0.30000000000000004
11228,-0.30000000000000004
11229,-5.6000000000000005
11230,5.6000000000000005
11231,-11.7
11232,11.7
11233,-0.8
11234,0.8
11235,-7.1
11236,-11.5
11237,11.5
11238,1.9
11239,5.5
11240,13.1
11241,-2.4
11242,2.4
11243,5.8000000000000025
11244,14.3
11245,-14.3
11246,-1.5
11247,6.1000000000000005
11248,13.1
11249,-13.1
11250,-1.2000000000000002
11251,6.4
11252,-15.7
11253,15.7
11254,4.2
11255,-6.0
11256,-12.4
11257,12.4
11258,0.1
11259,-0.1
11260,-7.1
11261,7.1
11262,-19.700000000000006
11263,-2.7
11264,2.7
11265,5.4
11266,10.9
11267,-10.9
11268,1.4
11269,-1.4
11270,5.2
11271,-13.7
11272,13.7
11273,-0.1
11274,-7.1000000000000005
11275,18.6
11276,-18.6
11277,-0.1
11278,-6.4
11279,6.4
11280,-16.7
11281,16.7
11282,-3.5
11283,3.5
11284,-6.3000000000000025
11285,11.2
11286,-11.2
11287,1.3
11288,7.0
11289,-19.200000000000006
11290,19.200000000000006
11291,-0.6000000000000001
11292,0.6000000000000001
11293,7.6
11294,-11.8
11295,11.8
11296,1.3
11297,-1.3
11298,5.7
11299,-5.7
11300,13.1
11301,-13.1
11302,0.2
11303,-0.2
11304,-5.4
11305,5.4
11306,13.1
11307,-13.1
11308,4.4
11309,-4.4
11310,7.4
11311,-11.1
11312,0.30000000000000004
11313,-0.30000000000000004
11314,-8.200000000000001
11315,8.200000000000001
11316,-12.5
11317,1.7000000000000002
11318,-5.8000000000000025
11319,18.6
11320,-0.7999999999999999
11321,7.4
11322,-14.8
11323,0.6000000000000001
11324,-6.4
11325,6.4
11326,-19.700000000000006
11327,-1.9
11328,1.9
11329,-7.6
11330,10.9
11331,-10.9
11332,2.5
11333,8.7
11334,-13.5
11335,-0.6000000000000001
11336,-6.1000000000000005
11337,6.1000000000000005
11338,13.1
11339,-2.5
11340,-10.0
11341,10.0
11342,18.1
11343,-0.30000000000000004
11344,6.1000000000000005
11345,16.400000000000002
11346,2.0
11347,-2.0
11348,-7.4
11349,7.4
11350,13.1
11351,-3.6
11352,3.6
11353,-5.3
11354,13.5
11355,-13.5
11356,-5.0
11357,-6.1
11358,6.1
11359,18.9
11360,0.7000000000000001
11361,-0.7000000000000001
11362,5.4
11363,10.1
11364,-2.5
11365,2.5
11366,-6.6000000000000005
11367,13.1
11368,1.0
11369,-1.0
11370,-7.1000000000000005
11371,7.1000000000000005
11372,14.4
11373,0.7000000000000001
11374,-5.8000000000000025
11375,13.8
11376,-13.8
11377,3.2
11378,-3.2
11379,5.9
11380,-5.9
11381,-11.8
11382,0.30000000000000004
11383,8.5
11384,-8.5
11385,-13.1
11386,13.1
11387,0.5
11388,-0.5
11389,-5.4
11390,-11.7
11391,-1.5
11392,1.5
11393,5.4
11394,11.9
11395,-11.9
11396,-1.7
11397,-7.3
11398,7.3
11399,-10.5
11400,-3.4
11401,3.4
11402,9.0
11403,13.1
11404,2.2
11405,-5.8000000000000025
11406,5.8000000000000025
11407,11.9
11408,-0.1
11409,0.1
11410,6.8
11411,13.1
11412,-0.4
11413,0.4
11414,-8.7
11415,17.5
11416,-17.5
11417,-1.6
11418,1.6
11419,-5.300000000000002
11420,5.300000000000002
11421,-19.700000000000006
11422,19.700000000000006
11423,0.5
11424,-6.7
11425,6.7
11426,17.8
11427,-17.8
11428,2.9
11429,-2.9
11430,-6.7
11431,6.7
11432,-18.3
11433,4.7
11434,7.4
11435,-12.2
11436,12.2
11437,2.9000000000000004
11438,-6.1
11439,-11.7
11440,0.1
11441,-8.3
11442,8.3
11443,18.5
11444,-4.6
11445,4.6
11446,5.1
11447,-5.1
11448,10.4
11449,-10.4
11450,-1.2000000000000002
11451,1.2000000000000002
11452,9.5
11453,-9.5
11454,13.1
11455,-0.7000000000000001
11456,0.7000000000000001
11457,5.7
11458,-5.7
11459,10.9
11460,-2.9000000000000004
11461,2.9000000000000004
11462,-9.1
11463,13.1
11464,-13.1
11465,0.6000000000000001
11466,-0.6000000000000001
11467,-6.4
11468,6.4
11469,13.1
11470,1.1
11471,8.0
11472,-8.0
11473,-11.8
11474,11.8
11475,-1.3
11476,-6.7
11477,6.7
11478,13.6
11479,3.4000000000000004
11480,5.8000000000000025
11481,-5.8000000000000025
11482,-13.0
11483,-2.8
11484,-6.0
11485,-13.2
11486,13.2
11487,-2.2
11488,6.9
11489,-17.0
11490,-2.8000000000000003
11491,2.8000000000000003
11492,5.8000000000000025
11493,-5.8000000000000025
11494,13.1
11495,-13.1
11496,0.4
11497,6.7
11498,-11.6
11499,11.6
11500,-3.6
11501,-5.2
11502,16.2
11503,1.6
11504,8.6
11505,-8.6
11506,17.4
11507,-1.4
11508,1.4
11509,5.4
11510,-5.4
11511,-11.7
11512,11.7
11513,1.3
11514,-1.3
11515,8.1
11516,-8.1
11517,-16.7
11518,-0.30000000000000004
11519,5.6
11520,-5.6
11521,13.6
11522,-13.6
11523,0.0
11524,5.3
11525,-5.3
11526,-13.7
11527,2.4
11528,9.2
11529,-9.2
11530,13.1
11531,-13.1
11532,-0.6000000000000001
11533,0.6000000000000001
11534,6.7
11535,-11.3
11536,11.3
11537,-0.1
11538,-6.6000000000000005
11539,11.2
11540,-11.2
11541,-0.4
11542,5.8
11543,-5.8
11544,13.1
11545,-13.1
11546,-1.2000000000000002
11547,5.300000000000002
11548,-5.300000000000002
11549,14.6
11550,-14.6
11551,1.6
11552,-1.6
11553,7.0
11554,13.1
11555,-13.1
11556,-1.1
11557,6.3
11558,-6.3
11559,-19.700000000000006
11560,19.700000000000006
11561,-2.4
11562,2.4
11563,6.7
11564,12.7
11565,-12.7
11566,3.8
11567,-3.8
11568,-8.2
11569,11.7
11570,-0.30000000000000004
11571,8.1
11572,-8.1
11573,-15.8
11574,0.0
11575,-0.0
11576,6.3000000000000025
11577,-19.6
11578,19.6
11579,0.0
11580,-0.0
11581,-7.3000000000000025
11582,10.5
11583,-10.5
11584,-0.30000000000000004
11585,0.30000000000000004
11586,5.5
11587,-5.5
11588,-15.9
11589,-0.7000000000000001
11590,-7.6
11591,13.1
11592,0.1
11593,-0.1
11594,7.0
11595,-7.0
11596,-10.2
11597,0.9
11598,5.9
11599,13.1
11600,-2.2
11601,-6.1000000000000005
11602,6.1000000000000005
11603,-10.4
11604,-2.5
11605,2.5
11606,-5.8
11607,5.8
11608,-19.0
11609,3.3000000000000003
11610,5.1000000000000005
11611,-13.7
11612,13.7
11613,-2.9000000000000004
11614,2.9000000000000004
11615,-6.3000000000000025
11616,6.3000000000000025
11617,14.7
11618,-14.7
11619,0.5
11620,-0.5
11621,-6.0
11622,6.0
11623,13.1
11624,0.1
11625,6.8
11626,11.5
11627,-11.5
11628,-2.2
11629,2.2
11630,-6.2
11631,6.2
11632,-13.0
11633,13.0
11634,-0.7000000000000001
11635,0.7000000000000001
11636,-6.5
11637,-14.3
11638,14.3
11639,2.6
11640,-2.6
11641,8.0
11642,-16.1
11643,0.0
11644,-0.0
11645,7.0
11646,13.1
11647,3.8
11648,-5.4
11649,5.4
11650,-13.1
11651,3.5
11652,-6.0
11653,6.0
11654,13.1
11655,0.30000000000000004
11656,-7.5
11657,7.5
11658,-15.1
11659,15.1
11660,-1.4
11661,1.4
11662,6.4
11663,-6.4
11664,13.1
11665,-13.1
11666,-3.9
11667,-5.8000000000000025
11668,5.8000000000000025
11669,-10.3
11670,3.2
11671,-5.3
11672,5.3
11673,10.8
11674,-10.8
11675,-1.4
11676,1.4
11677,-5.3
11678,-13.0
11679,13.0
11680,-0.1
11681,-5.6000000000000005
11682,-14.5
11683,0.1
11684,5.5
11685,12.2
11686,-12.2
11687,1.2000000000000002
11688,-1.2000000000000002
11689,-5.4
11690,5.4
11691,13.1
11692,-13.1
11693,1.7000000000000002
11694,-6.1
11695,13.1
11696,-13.1
11697,-4.6000000000000005
11698,-5.300000000000002
11699,13.8
11700,-13.8
11701,0.0
11702,5.2
11703,-5.2
11704,14.6
11705,-14.6
11706,0.30000000000000004
11707,-0.30000000000000004
11708,-6.1000000000000005
11709,12.0
11710,0.6000000000000001
11711,-0.6000000000000001
11712,6.6000000000000005
11713,16.9
11714,-16.9
11715,-2.3
11716,2.3
11717,6.4
11718,-6.4
11719,14.5
11720,-14.5
11721,0.5
11722,-0.5
11723,-5.5
11724,5.5
11725,13.1
11726,-2.3000000000000003
11727,7.0
11728,11.5
11729,-0.8999999999999999
11730,0.8999999999999999
11731,-6.4
11732,6.4
11733,-17.7
11734,3.1
11735,-3.1
11736,-5.5
11737,11.2
11738,-11.2
11739,0.7000000000000001
11740,5.4
11741,-5.4
11742,11.3
11743,0.1
11744,-0.1
11745,-5.4
11746,-19.700000000000006
11747,1.6
11748,-1.6
11749,6.7
11750,-6.7
11751,-11.8
11752,11.8
11753,-0.30000000000000004
11754,0.30000000000000004
11755,-6.4
11756,6.4
11757,-16.8
11758,16.8
11759,-1.3
11760,5.4
11761,-5.4
11762,19.9
11763,1.6
11764,-5.9
11765,5.9
11766,-11.8
11767,-0.6000000000000001
11768,10.0
11769,10.4
11770,-10.4
11771,-0.30000000000000004
11772,0.30000000000000004
11773,-6.5
11774,6.5
11775,-11.7
11776,11.7
11777,1.3
11778,-1.3
11779,5.2
11780,-5.2
11781,12.3
11782,-1.1
11783,1.1
11784,-6.6
11785,6.6
11786,13.1
11787,-13.1
11788,1.2000000000000002
11789,-1.2000000000000002
11790,5.300000000000002
11791,-5.300000000000002
11792,-10.2
11793,-0.4
11794,-6.5
11795,-11.7
11796,11.7
11797,0.30000000000000004
11798,-0.30000000000000004
11799,5.6000000000000005
11800,-17.7
11801,17.7
11802,-1.2
11803,1.2
11804,-6.0
11805,15.2
11806,-15.2
11807,2.5
11808,-2.5
11809,8.0
11810,-8.0
11811,13.1
11812,0.0
11813,-0.0
11814,-7.7
11815,7.7
11816,-13.3
11817,13.3
11818,-1.7000000000000002
11819,1.7000000000000002
11820,5.5
11821,-5.5
11822,18.9
11823,-3.3000000000000003
11824,3.3000000000000003
11825,6.3
11826,-12.4
11827,1.1
11828,-1.1
11829,-6.1000000000000005
11830,18.7
11831,-18.7
11832,0.2
11833,-0.2
11834,-6.7
11835,13.1
11836,-13.1
11837,-0.30000000000000004
11838,0.30000000000000004
11839,5.9
11840,-5.9
11841,-11.7
11842,0.30000000000000004
11843,-5.7
11844,5.7
11845,-10.5
11846,1.1
11847,-7.9
11848,7.9
11849,13.1
11850,-13.1
11851,-0.5
11852,0.5
11853,-8.8
11854,-17.3
11855,0.5
11856,-9.9
11857,15.2
11858,-0.4
11859,-6.4
11860,12.3
11861,0.0
11862,-0.0
11863,5.9
11864,13.1
11865,4.7
11866,-4.7
11867,5.4
11868,-5.4
11869,11.6
11870,-0.30000000000000004
11871,0.30000000000000004
11872,-5.8000000000000025
11873,13.1
11874,0.0
11875,-0.0
11876,9.8
11877,-12.4
11878,12.4
11879,3.5
11880,-6.4
11881,6.4
11882,12.3
11883,-1.5
11884,7.2
